# 動画 文字起こし

**動画ファイル**: 20250831_第3者相談対策.mkv
**ファイルサイズ**: 254.24 MB
**抽出日時**: 2026-01-19 18:43:38
**処理方法**: Gemini API 直接文字起こし

---

はい、承知いたしました。以下に文字起こし結果を記載します。

[00:01] はい、え、それでは、ええ、営業クエスト。
[05:04] ま、理想としては金額停止前にこの方の意思決定で決められる状態が理想ではあるので、え、できればま、金額提示前に、え、旦那さん相談を。
[05:16] 防ぎたいっていうところですね。
[05:18] はい。
[05:19] じゃあ、その実際どうやってやるか、ね、いくと、まあ、じゃあある程度理想のヒアリングしてアカウント提案してスクラブの説明しました。
[05:25] で、え、じゃあその後ですね、はい。
[05:30] 結論、この流れかなと思ってまして、ま、金額提示前なんですけど。
[05:33] え、じゃあこうこうスクラブ、え、説明しました。
[05:37] ま、お客さんとしても、ある程度やりたいでですってなった後ですね、え、ちなみに旦那さんにこれ相談ってされるんですか。
[05:44] あ、相談したいですってなった時ですね、1回こうちょっと僕の流れ、僕が実際言ってるようなやり方で話すと、え、相談したいですと言われました。
[05:55] はい。
[05:55] なったら、えっと、ま、僕が知ってる人で、これ体感9割の方が相談したら、大反対されてえ、諦めちゃいますと。
[06:06] で、なんでかで行くと、旦那さんもやっぱりそこにたいして責任を取りきれないので、反対されるのはむしろ当然です。
[06:16] はい。
[06:16] で、これ結果を出して初めて応援してくれるっていう方が多いんです。
[06:22] で、実際に、これ考えてください。
[06:23] 在宅で収益を得ることができたら旦那さんも喜びますよねっていう。
[06:29] 確かになんでなるんですよね。
[06:32] なんで、僕はやるなら、えっと、ま、ほとんどの方、ま、実際そうだと思うんですけど、9割近くがやっぱりいい顔されないです。
[06:45] で、それが何でかで行くと、旦那さんも責任取れないじゃないですかっていう、そのよく分からないインスタのサービスに。
[06:52] インスタものこともそこまで分かってないと思いますみたいな。
[07:03] う言っておいて、反対するのはもうこれ当たり前のことですで、ほとんどの場合実際反対されますと。
[07:10] はい。
[07:10] で、逆にこれ応援してくれそうですかと。
[07:17] 聞きます。
[07:17] したら、大体うんってなるんですけど。
[07:20] はい。
[07:20] まず9割の方が反対されるっていう前提を伝えた上で、え、次にですね、え、結果を出さないとやっぱり納得されないですよっていうところをします。
[07:28] はい。
[07:28] ま、これも実際そうだと思うんですけど、結果出して初めて応援してくれると思うんですよ。
[07:35] で、実際丸々さんが当初おっしゃって下さった理想、例えば在宅でこうお子さん見ながら家で収益上がる環境を作っていけたら、旦那さんこれ喜びますよねっていう。
[07:43] 確かになんでなるんですよね。
[07:46] 覚悟があれば、反対押し切ってでもやる。
[08:09] で、これは個人として言えますが、これは9割します。
[08:24] 今でしょ。
[08:32] て。
[08:40] が重要かなと思って。
[08:46] なんかあえんくつ。
[08:53] があるのに。
[09:02] て。
[11:31] えやな。
[11:32] む。
[11:52] 。
